Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
59,Tidak Resign,Rarely,818,Human Resources,6,Diploma (D3/D4),Medical,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,No,17,4,0,7,2,2,2,2,2,2
36,Tidak Resign,Rarely,1425,Research & Development,14,SMP/SMA,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Yes,17,1,1,17,2,2,16,8,4,11
38,Tidak Resign,Rarely,433,Human Resources,1,Sarjana (S1),Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,No,13,4,1,7,2,4,7,6,5,0
28,Resign,Frequently,1496,Sales,1,Sarjana (S1),Technical Degree,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,No,15,4,1,5,3,4,3,2,1,2
31,Tidak Resign,Rarely,192,Research & Development,2,Magister (S2),Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,2,1,3,2,1,2,2,2,2
32,Tidak Resign,Rarely,427,Research & Development,1,Sarjana (S1),Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,2,1,9,3,3,9,8,7,8
28,Tidak Resign,Never,120,Sales,4,Sarjana (S1),Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,2,0,5,3,4,5,4,0,4
31,Resign,Rarely,249,Sales,6,Magister (S2),Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,2,0,12,3,2,7,7,7,7
50,Tidak Resign,Rarely,316,Sales,8,Magister (S2),Marketing,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,No,15,4,1,4,2,3,2,2,2,2
32,Tidak Resign,Frequently,379,Sales,5,Diploma (D3/D4),Life Sciences,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,No,14,4,1,10,3,3,10,8,5,3
38,Tidak Resign,Frequently,216,Research & Development,23,Sarjana (S1),Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,2,0,10,2,3,9,7,1,8
21,Tidak Resign,Rarely,1343,Sales,22,SMP/SMA,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,No,11,3,0,3,2,3,3,2,1,2
35,Tidak Resign,Rarely,950,Research & Development,7,Sarjana (S1),Other,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,No,21,2,0,17,3,4,8,5,1,6
31,Resign,Frequently,523,Research & Development,2,Sarjana (S1),Life Sciences,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Yes,13,3,1,7,2,1,2,2,2,2
32,Tidak Resign,Rarely,1062,Research & Development,2,Sarjana (S1),Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,1,8,4,3,8,0,0,7
32,Tidak Resign,Rarely,929,Sales,10,Sarjana (S1),Marketing,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,No,12,4,0,10,2,2,10,7,0,8
34,Tidak Resign,Rarely,1303,Research & Development,2,Magister (S2),Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,1,14,3,3,7,3,5,7
47,Tidak Resign,Rarely,983,Research & Development,2,Diploma (D3/D4),Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,20,2,3,5,0,0,4
30,Tidak Resign,Rarely,921,Research & Development,1,Sarjana (S1),Life Sciences,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,No,21,3,2,7,2,3,2,2,0,2
58,Tidak Resign,Rarely,1145,Research & Development,9,Sarjana (S1),Medical,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Yes,20,2,1,9,3,2,1,0,0,0
38,Tidak Resign,Rarely,1380,Research & Development,9,Diploma (D3/D4),Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,No,12,3,0,2,3,3,2,2,2,1
43,Resign,Rarely,1372,Sales,9,Sarjana (S1),Marketing,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8,No,13,2,0,7,2,2,4,3,1,3
52,Tidak Resign,Frequently,322,Research & Development,28,Diploma (D3/D4),Medical,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Yes,11,2,1,24,3,2,5,3,0,2
44,Tidak Resign,Rarely,1488,Sales,1,Doktor (S3),Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,3,1,9,2,2,4,3,1,3
45,Tidak Resign,Rarely,561,Sales,2,Sarjana (S1),Other,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,2,1,9,3,4,8,7,3,7
21,Resign,Rarely,1427,Research & Development,18,SMP/SMA,Other,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,No,19,1,0,1,3,2,1,0,0,0
23,Tidak Resign,Rarely,885,Research & Development,4,Sarjana (S1),Medical,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,No,16,1,1,5,3,4,3,2,0,2
54,Tidak Resign,Rarely,1147,Sales,3,Sarjana (S1),Marketing,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,No,14,4,1,16,4,3,6,2,0,5
41,Tidak Resign,Rarely,509,Research & Development,7,Diploma (D3/D4),Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,No,13,3,0,10,3,3,10,6,0,8
45,Tidak Resign,Rarely,1038,Research & Development,20,Sarjana (S1),Medical,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Yes,18,2,1,24,2,3,7,7,0,7
55,Tidak Resign,Rarely,111,Sales,1,Diploma (D3/D4),Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,4,1,24,4,3,1,0,1,0
34,Tidak Resign,Frequently,1069,Research & Development,2,SMP/SMA,Life Sciences,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,No,17,3,0,10,2,2,10,9,1,9
57,Tidak Resign,Rarely,405,Research & Development,1,Diploma (D3/D4),Life Sciences,2,Male,93,4,2,Research Scientist,3,Married,4900,2721,0,No,24,1,1,13,2,2,12,9,2,8
33,Tidak Resign,Rarely,147,Research & Development,4,Magister (S2),Medical,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,No,21,4,0,7,3,3,3,2,1,1
32,Tidak Resign,Never,300,Research & Development,1,Sarjana (S1),Life Sciences,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,No,12,2,1,4,2,3,3,0,0,2
21,Resign,Frequently,251,Research & Development,10,Diploma (D3/D4),Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,2625,25308,1,No,20,3,0,2,2,1,2,2,2,2
34,Resign,Frequently,296,Sales,6,Diploma (D3/D4),Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,4,1,3,3,2,2,2,1,0
27,Tidak Resign,Frequently,1242,Sales,20,Sarjana (S1),Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,No,14,4,0,7,2,3,7,7,0,7
36,Tidak Resign,Rarely,917,Research & Development,6,Magister (S2),Life Sciences,3,Male,60,1,1,Laboratory Technician,3,Divorced,2741,6865,1,No,14,3,1,7,4,3,7,7,1,7
33,Tidak Resign,Frequently,1296,Research & Development,6,Sarjana (S1),Life Sciences,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,No,23,3,1,15,2,1,13,11,4,7
27,Tidak Resign,Rarely,894,Research & Development,9,Sarjana (S1),Medical,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,1,No,16,4,0,7,2,2,7,7,0,3
22,Tidak Resign,Rarely,1230,Research & Development,1,Diploma (D3/D4),Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,No,22,1,2,4,2,1,2,2,2,2
33,Resign,Rarely,813,Research & Development,14,Sarjana (S1),Medical,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Yes,13,3,1,8,2,1,5,4,0,4
42,Tidak Resign,Frequently,1368,Research & Development,28,Magister (S2),Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,4,3,7,4,4,6,5,0,4
31,Tidak Resign,Rarely,218,Sales,7,Sarjana (S1),Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,2,1,10,3,2,8,7,7,7
32,Resign,Never,1474,Sales,11,Magister (S2),Other,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,No,12,4,0,6,2,3,4,2,1,2
35,Tidak Resign,Never,1097,Research & Development,11,Diploma (D3/D4),Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,1,10,3,3,4,0,2,3
33,Tidak Resign,Rarely,134,Research & Development,2,Sarjana (S1),Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,No,14,1,0,4,2,4,3,1,0,2
27,Resign,Rarely,135,Research & Development,17,Magister (S2),Life Sciences,4,Female,51,3,1,Research Scientist,3,Single,2394,25681,1,Yes,13,4,0,8,2,3,8,2,7,7
28,Tidak Resign,Rarely,1451,Research & Development,2,SMP/SMA,Life Sciences,1,Male,67,2,1,Research Scientist,2,Married,3201,19911,0,No,17,1,0,6,2,1,5,3,0,4
27,Tidak Resign,Frequently,294,Research & Development,10,Diploma (D3/D4),Life Sciences,4,Male,32,3,3,Manufacturing Director,1,Divorced,8793,4809,1,No,21,3,2,9,4,2,9,7,1,7
37,Tidak Resign,Rarely,342,Sales,16,Magister (S2),Marketing,4,Male,66,2,2,Sales Executive,3,Divorced,6334,24558,4,No,19,4,2,9,2,3,1,0,0,0
37,Tidak Resign,Frequently,319,Sales,4,Magister (S2),Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,1,13,2,3,9,8,5,8
31,Tidak Resign,Rarely,1062,Research & Development,24,Sarjana (S1),Medical,3,Female,96,2,2,Healthcare Representative,1,Single,6812,17198,1,No,19,2,0,10,2,3,10,9,1,8
36,Tidak Resign,Rarely,676,Research & Development,1,Sarjana (S1),Other,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,0,No,15,1,1,10,2,3,9,7,0,5
37,Tidak Resign,Rarely,977,Research & Development,1,Sarjana (S1),Life Sciences,4,Female,56,2,2,Manufacturing Director,4,Married,6474,9961,1,No,13,2,1,14,2,2,14,8,3,11
38,Tidak Resign,Rarely,702,Sales,1,Magister (S2),Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,No,22,3,0,12,2,4,8,3,0,7
32,Tidak Resign,Rarely,117,Sales,13,Magister (S2),Life Sciences,2,Male,73,3,2,Sales Executive,4,Divorced,4403,9250,2,No,11,3,1,8,3,2,5,2,0,3
28,Tidak Resign,Rarely,857,Research & Development,10,Sarjana (S1),Other,3,Female,59,3,2,Research Scientist,3,Single,3660,7909,3,No,13,4,0,10,4,4,8,7,1,7
43,Tidak Resign,Frequently,957,Research & Development,28,Sarjana (S1),Medical,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,No,12,4,0,18,2,3,3,2,1,2
30,Tidak Resign,Rarely,1465,Research & Development,1,Sarjana (S1),Medical,4,Male,63,3,1,Research Scientist,2,Married,3579,9369,0,Yes,21,1,1,12,2,3,11,9,5,7
33,Tidak Resign,Never,722,Sales,17,Sarjana (S1),Life Sciences,4,Male,38,3,4,Manager,3,Single,17444,20489,1,No,11,4,0,10,2,3,10,8,6,0
43,Tidak Resign,Rarely,177,Research & Development,8,Sarjana (S1),Life Sciences,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,No,21,3,1,4,2,4,1,0,0,0
37,Tidak Resign,Rarely,921,Research & Development,10,Sarjana (S1),Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,2,1,17,3,3,5,4,0,3
24,Tidak Resign,Frequently,535,Sales,24,Sarjana (S1),Medical,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,No,13,3,2,3,3,3,2,2,2,1
37,Tidak Resign,Rarely,558,Sales,2,Sarjana (S1),Marketing,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Yes,11,3,1,17,3,2,3,0,1,0
55,Resign,Rarely,436,Sales,2,SMP/SMA,Medical,3,Male,37,3,2,Sales Executive,4,Single,5160,21519,4,No,16,3,0,12,3,2,9,7,7,3
18,Tidak Resign,Rarely,812,Sales,10,Sarjana (S1),Medical,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,1,0,0,2,3,0,0,0,0
44,Tidak Resign,Frequently,383,Sales,1,Doktor (S3),Marketing,1,Female,79,3,2,Sales Executive,3,Married,4768,9282,7,No,12,3,1,11,4,2,1,0,0,0
42,Tidak Resign,Rarely,691,Sales,8,Magister (S2),Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,4,1,10,2,3,9,7,4,2
32,Resign,Rarely,515,Research & Development,1,Sarjana (S1),Life Sciences,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Yes,14,4,0,4,2,1,3,2,1,2
31,Tidak Resign,Frequently,853,Research & Development,1,SMP/SMA,Life Sciences,3,Female,96,3,2,Manufacturing Director,1,Married,4148,11275,1,No,12,3,1,4,1,3,4,3,0,3
30,Resign,Frequently,109,Research & Development,5,Sarjana (S1),Medical,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,No,17,1,0,4,3,3,3,2,1,2
36,Tidak Resign,Rarely,329,Research & Development,2,Sarjana (S1),Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,2,1,6,3,3,2,2,2,2
30,Tidak Resign,Rarely,1176,Research & Development,20,Sarjana (S1),Other,3,Male,85,3,2,Manufacturing Director,1,Married,9957,9096,0,No,15,3,1,7,1,2,6,2,0,2
35,Tidak Resign,Rarely,890,Sales,2,Sarjana (S1),Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,1,0,2,3,3,2,2,2,2
39,Tidak Resign,Never,1485,Research & Development,25,Diploma (D3/D4),Life Sciences,3,Male,71,3,3,Healthcare Representative,3,Married,10920,3449,3,No,21,2,1,13,2,3,6,4,0,5
29,Tidak Resign,Frequently,442,Sales,2,Diploma (D3/D4),Life Sciences,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,No,18,1,0,10,3,2,10,7,0,9
36,Tidak Resign,Rarely,506,Research & Development,3,Sarjana (S1),Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,No,12,4,0,10,2,3,8,0,7,7
30,Tidak Resign,Rarely,201,Research & Development,5,Sarjana (S1),Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,No,14,4,1,8,3,3,3,2,2,2
27,Tidak Resign,Rarely,269,Research & Development,5,SMP/SMA,Technical Degree,3,Male,42,2,3,Research Director,4,Divorced,12808,8842,1,Yes,16,2,1,9,3,3,9,8,0,8
43,Tidak Resign,Rarely,1001,Research & Development,7,Sarjana (S1),Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,1,1,10,1,2,1,0,0,0
38,Tidak Resign,Rarely,343,Research & Development,15,Diploma (D3/D4),Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,2,1,12,3,3,11,10,2,9
31,Tidak Resign,Frequently,793,Sales,20,Sarjana (S1),Life Sciences,3,Male,67,4,1,Sales Representative,4,Married,2791,21981,0,No,12,1,1,3,4,3,2,2,2,2
30,Tidak Resign,Rarely,501,Sales,27,Doktor (S3),Marketing,3,Male,99,3,2,Sales Executive,4,Divorced,5304,25275,7,No,23,4,1,10,2,2,8,7,7,7
23,Tidak Resign,Rarely,650,Research & Development,9,SMP/SMA,Medical,2,Male,37,3,1,Laboratory Technician,1,Married,2500,4344,1,No,14,4,1,5,2,4,4,3,0,2
31,Tidak Resign,Rarely,1222,Research & Development,11,Magister (S2),Life Sciences,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,Yes,19,2,1,8,2,3,6,4,0,2
46,Resign,Rarely,377,Sales,9,Sarjana (S1),Marketing,1,Male,52,3,3,Sales Executive,4,Divorced,10096,15986,4,No,11,1,1,28,1,4,7,7,4,3
53,Tidak Resign,Rarely,346,Research & Development,6,Sarjana (S1),Life Sciences,4,Male,86,3,2,Laboratory Technician,4,Single,2450,10919,2,No,17,4,0,19,4,3,2,2,2,2
49,Tidak Resign,Rarely,1418,Research & Development,1,Sarjana (S1),Technical Degree,3,Female,36,3,1,Research Scientist,1,Married,3580,10554,2,No,16,2,1,7,2,3,4,2,0,2
46,Tidak Resign,Rarely,1003,Research & Development,8,Magister (S2),Life Sciences,4,Female,74,2,2,Research Scientist,1,Divorced,4615,21029,8,Yes,23,1,3,19,2,3,16,13,1,7
35,Tidak Resign,Frequently,664,Research & Development,1,Sarjana (S1),Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,4,1,5,2,2,3,2,1,2
35,Tidak Resign,Rarely,144,Research & Development,22,Sarjana (S1),Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,No,15,3,0,6,2,3,5,4,4,3
19,Tidak Resign,Rarely,265,Research & Development,25,Sarjana (S1),Life Sciences,2,Female,57,4,1,Research Scientist,4,Single,2994,21221,1,Yes,12,4,0,1,2,3,1,0,0,1
28,Tidak Resign,Rarely,866,Sales,5,Sarjana (S1),Medical,4,Male,84,3,2,Sales Executive,1,Single,8463,23490,0,No,18,4,0,6,4,3,5,4,1,3
43,Tidak Resign,Frequently,422,Research & Development,1,Sarjana (S1),Life Sciences,4,Female,33,3,2,Healthcare Representative,4,Married,5562,21782,4,No,13,2,1,12,2,2,5,2,2,2
37,Tidak Resign,Rarely,367,Research & Development,25,Diploma (D3/D4),Medical,3,Female,52,2,2,Healthcare Representative,4,Divorced,5731,17171,7,No,13,3,2,9,2,3,6,2,1,3
30,Tidak Resign,Rarely,1240,Human Resources,9,Sarjana (S1),Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,Yes,19,4,0,12,2,1,11,9,4,7
53,Tidak Resign,Rarely,1436,Sales,6,Diploma (D3/D4),Marketing,2,Male,34,3,2,Sales Representative,3,Married,2306,16047,2,Yes,20,4,1,13,3,1,7,7,4,5
30,Tidak Resign,Frequently,160,Research & Development,3,Sarjana (S1),Medical,3,Female,71,3,1,Research Scientist,3,Divorced,2083,22653,1,No,20,3,1,1,2,3,1,0,0,0
25,Resign,Rarely,867,Sales,19,Diploma (D3/D4),Marketing,3,Male,36,2,1,Sales Representative,2,Married,2413,18798,1,Yes,18,3,3,1,2,3,1,0,0,0
29,Tidak Resign,Rarely,1090,Sales,10,Sarjana (S1),Marketing,4,Male,83,3,1,Sales Representative,2,Divorced,2297,17967,1,No,14,4,2,2,2,3,2,2,2,2
34,Tidak Resign,Frequently,702,Research & Development,16,Magister (S2),Life Sciences,3,Female,100,2,1,Research Scientist,4,Single,2553,8306,1,No,16,3,0,6,3,3,5,2,1,3
43,Tidak Resign,Rarely,1034,Sales,16,Sarjana (S1),Marketing,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Yes,22,3,1,22,3,3,17,13,1,9
44,Tidak Resign,Rarely,1112,Human Resources,1,Magister (S2),Life Sciences,1,Female,50,2,2,Human Resources,3,Single,5985,26894,4,No,11,2,0,10,1,4,2,2,0,2
34,Tidak Resign,Never,999,Research & Development,26,SMP/SMA,Technical Degree,1,Female,92,2,1,Research Scientist,3,Divorced,2029,15891,1,No,20,3,3,5,2,3,5,4,0,0
28,Tidak Resign,Rarely,304,Sales,9,Magister (S2),Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,4,0,7,1,3,7,5,0,7
40,Tidak Resign,Rarely,300,Sales,26,Sarjana (S1),Marketing,3,Male,74,3,2,Sales Executive,1,Married,8396,22217,1,No,14,2,1,8,3,2,7,7,7,5
34,Tidak Resign,Rarely,1111,Sales,8,Diploma (D3/D4),Life Sciences,3,Female,93,3,2,Sales Executive,1,Married,6500,13305,5,No,17,2,1,6,1,3,3,2,1,2
25,Tidak Resign,Rarely,180,Research & Development,2,SMP/SMA,Medical,1,Male,65,4,1,Research Scientist,1,Single,3424,21632,7,No,13,3,0,6,3,2,4,3,0,1
34,Resign,Rarely,699,Research & Development,6,SMP/SMA,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,0,8,2,3,4,2,1,3
32,Tidak Resign,Rarely,601,Sales,7,Doktor (S3),Marketing,4,Male,97,3,2,Sales Executive,4,Married,9204,23343,4,No,12,3,1,7,3,2,4,3,0,3
25,Resign,Rarely,240,Sales,5,Sarjana (S1),Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Yes,11,4,0,6,1,3,6,4,0,3
24,Tidak Resign,Rarely,1127,Research & Development,18,SMP/SMA,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,No,12,3,1,6,2,3,5,3,1,2
35,Tidak Resign,Rarely,1137,Research & Development,21,SMP/SMA,Life Sciences,4,Female,51,3,2,Healthcare Representative,4,Married,4014,19170,1,Yes,25,4,1,10,2,1,10,6,0,7
48,Tidak Resign,Rarely,817,Sales,2,SMP/SMA,Marketing,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,No,12,4,0,12,3,3,2,2,2,2
30,Tidak Resign,Rarely,202,Sales,2,SMP/SMA,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,1,1,1,3,3,1,0,0,0
31,Resign,Rarely,542,Sales,20,Sarjana (S1),Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Yes,11,3,1,4,2,3,2,2,2,2
39,Resign,Rarely,1162,Sales,3,Diploma (D3/D4),Medical,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,1,0,12,3,2,1,0,0,0
51,Resign,Frequently,1150,Research & Development,8,Magister (S2),Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,4,0,18,2,3,4,2,0,3
32,Tidak Resign,Rarely,548,Research & Development,1,Sarjana (S1),Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,2,2,10,3,3,10,4,0,9
38,Tidak Resign,Never,152,Sales,10,Sarjana (S1),Technical Degree,3,Female,85,3,2,Sales Executive,4,Single,5666,19899,1,Yes,13,2,0,6,1,3,5,3,1,3
36,Tidak Resign,Rarely,796,Research & Development,12,Doktor (S3),Medical,4,Female,51,2,3,Manufacturing Director,4,Single,8858,15669,0,No,11,2,0,15,2,2,14,8,7,8
57,Tidak Resign,Rarely,334,Research & Development,24,Diploma (D3/D4),Life Sciences,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,23402,3,Yes,16,2,1,12,2,1,5,3,1,4
36,Tidak Resign,Rarely,172,Research & Development,4,Magister (S2),Life Sciences,1,Male,37,2,2,Laboratory Technician,4,Single,5810,22604,1,No,16,3,0,10,2,2,10,4,1,8
35,Tidak Resign,Rarely,538,Research & Development,25,Diploma (D3/D4),Other,1,Male,54,2,2,Laboratory Technician,4,Single,3681,14004,4,No,14,4,0,9,3,3,3,2,0,2
27,Tidak Resign,Frequently,1410,Sales,3,SMP/SMA,Medical,4,Female,71,4,2,Sales Executive,4,Divorced,4647,16673,1,Yes,20,2,2,6,3,3,6,5,0,4
37,Resign,Rarely,807,Human Resources,6,Magister (S2),Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,0,7,3,3,3,2,0,2
50,Resign,Rarely,869,Sales,3,Diploma (D3/D4),Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,0,3,2,3,3,2,0,2
27,Tidak Resign,Frequently,829,Sales,8,SMP/SMA,Marketing,3,Male,84,3,2,Sales Executive,4,Married,4342,24008,0,No,19,2,1,5,3,3,4,2,1,1
30,Tidak Resign,Never,1116,Research & Development,2,Sarjana (S1),Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,0,12,2,2,11,7,6,7
32,Tidak Resign,Never,862,Sales,2,SMP/SMA,Life Sciences,3,Female,76,3,1,Sales Representative,1,Divorced,2827,14947,1,No,12,3,3,1,3,3,1,0,0,0
32,Resign,Rarely,1089,Research & Development,7,Diploma (D3/D4),Life Sciences,4,Male,79,3,2,Laboratory Technician,3,Married,4883,22845,1,No,18,1,1,10,3,3,10,4,1,1
44,Resign,Rarely,1097,Research & Development,10,Magister (S2),Life Sciences,3,Male,96,3,1,Research Scientist,3,Single,2936,10826,1,Yes,11,3,0,6,4,3,6,4,0,2
32,Tidak Resign,Rarely,646,Research & Development,9,Magister (S2),Life Sciences,1,Female,92,3,2,Research Scientist,4,Married,6322,18089,1,Yes,12,4,1,6,2,2,6,4,0,5
